Concise description,Who/Organisation linked,Amount invested (if any),Timeline (if any),Exact quotes,Reasoning
Deploy SANDF to deal with gang violence and illegal mining,SANDF and SAPS,,Within the next few days,"I have directed the Minister of Police and the SANDF to develop a tactical plan where our security forces should be deployed within the next few days in the Western Cape and Gauteng to deal with gang violence and illegal mining.",Organised crime is now the most immediate threat to our democracy and economic development.
Recruit 5500 additional police officers,SAPS,,This year,We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers,To strengthen the fight against crime and gang violence.
Establish National Illicit Economy Disruption Programme,State agencies and private sector,,,We are establishing a National Illicit Economy Disruption Programme that brings together key state agencies and other stakeholders including the private sector.,To target high-risk sectors like tobacco fuel alcohol and other counterfeit products.
Introduce Whistle-Blower Protection Bill,Parliament,,,The Whistle-Blower Protection Bill will be introduced in Parliament.,To protect those who speak out against corruption from being victimised and targeted.
Finalise new Public Procurement Act regulations,Government,,By mid-2026,finalisation of new Public Procurement Act regulations by mid-2026.,To end corruption in the procurement system where most incidents originate.
Public funding for water and sanitation infrastructure,Government,R156 billion,Over the next three years,We have committed more than R156 billion in public funding for water and sanitation infrastructure over the next three years.,To ensure water security in the long term through building new dams and upgrading infrastructure.
Establish National Water Crisis Committee,The Presidency,,,we will now elevate our response to the water crisis to a National Water Crisis Committee which I will chair.,To enable a focused national response and single coordinating body for water challenges.
Lay charges against Municipal Managers for water neglect,Government,,,We will now move to lay charges against Municipal Managers in their personal capacity for violating the National Water Act of 1998.,To hold to account those who neglect their responsibility of supplying water to our people.
Incentive for metros to reform water and electricity services,Metros,R54 billion,,we have introduced a new R54 billion incentive for metros to reform their water sanitation and electricity services.,To ensure that revenue from water usage is put straight back into fixing pipes and infrastructure.
Finalise revised White Paper on Local Government,Government,,In the coming months,in the coming months finalise a revised White Paper on Local Government.,To provide solutions for the functioning of an effective local government system that is currently too complex.
Public investment to build and maintain infrastructure,Government,R1 trillion,Over three years,Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.,Infrastructure is an investment in jobs productivity and growth.
Establish specialised courts for commercial matters,Judiciary,,,we will establish specialised courts for commercial matters with dedicated judges and dedicated court rolls,To ensure faster outcomes in matters that have a bearing on the economy and prevent delays.
Establish professional State Property Company,Government,,Begin work this year,"This year, we will begin work to establish a professional State Property Company",To transform 88 000 buildings and five million hectares of land into engines of growth.
Renewable energy supply target,Energy Sector,,By 2030,By 2030 more than 40% of our energy supply will come from cheap clean and renewable energy sources.,To ensure long-term energy security and drive down costs.
Eradicate load reduction,Government and Provinces,,By next year,objective of eradicating load reduction by next year.,To address transformer overloading and equipment failure.
Initiate PPPs in port terminals and rail corridors,Transnet,,Later this year,Later this year we will initiate major public-private partnerships in our port terminals and rail corridors,To mobilise private investment and expertise while preserving public ownership.
Request For Proposals for high-speed rail,Government,,,We are preparing to send out a Request For Proposals which will introduce a new era of long-distance rail travel,To modernise the transport system and improve connectivity.
Vaccination of national cattle herd,State and Agriculture,28 million vaccines,Next 12 months,We have decided to vaccinate the national herd of 14 million cattle. This requires 28 million vaccines over the next 12 months.,To deal with one of the worst outbreaks of foot-and-mouth disease.
Extend Electronic Travel Authorisation to more countries,Department of Home Affairs,,Coming year,In the coming year we will extend the Electronic Travel Authorisation System to all countries that require a visa,To promote tourism and process applications digitally within 24 hours.
Tax deduction for investment in new energy vehicles,SARS,,From March this year,From March this year we will introduce a 150% tax deduction for investment in new energy vehicles,To support green growth and local production of batteries.
Raise new investments target,Government,R2 trillion,Over the next five years,We have now set ourselves a target of raising R2 trillion in new investments over the next five years.,To build a more inclusive economy and drive sustained growth.
Host sixth South Africa Investment Conference,Government,,31 March 2026,hosting the sixth South Africa Investment Conference on 31 March 2026.,To attract further investment into the country.
Funding for small and medium enterprises,Government,R2.5 billion,This year,This year we will provide more than R2.5 billion in funding to over 180 000 small and medium enterprises,To back those who create opportunity and help them grow.
Increase employment equity targets for persons with disabilities,Public Service,,By 2030,increase employment equity targets of persons with disabilities in the Public Service to 7% by 2030,To ensure that no one is left behind and correct past injustices.
End child stunting,Government,,By 2030,embark on a mission to end child stunting by 2030,To tackle malnutrition which affects the ability of children to learn and grow.
Redesign Social Relief of Distress Grant,SASSA,,This year,This year we will redesign the grant to more effectively support livelihoods,To improve the lives of the poorest and support productive activity.
Phase 4 construction of District Six restoration,Government,R500 million,,With R500 million allocated to this work we are proceeding with Phase 4 of construction.,To redress the injustices of the past and build cohesive communities.
Rollout of Lenacapavir for HIV prevention,Department of Health,,,undertaking a massive rollout of Lenacapavir a six-monthly injection that has proven highly effective in preventing HIV transmission.,To prevent and ultimately eliminate HIV.
Hire additional labour inspectors,Department of Labour,10000 inspectors,This year,To tighten enforcement we will hire an additional 10 000 labour inspectors this year.,To crack down on violations of immigration and labour laws.
Launch Digital ID,Department of Home Affairs,,This year,This year the DHA will launch a Digital ID to enable safe and secure use of digital services,To harness digital transformation for inclusion and effective service delivery.
Expand Smart ID and passport services in bank branches,Department of Home Affairs,,This year,This year alone hundreds more bank branches will now offer Smart ID and passport services,To decrease queues and waiting times for citizens.
